Order_ID,Product_Category,Shipping_Mode,Order_Value,Package_Weight_Kg,Warehouse_Distance_Km,Items_in_Order,Warehouse_Processing_Hours,Courier_Load_Index,Traffic_Index,Delivery_Time_Hours
ORD-100802,Books,Express,1572.54,1.388,213.3,3,2.11,7.41,5.21,13.45
ORD-100594,Electronics,standard,12084.08,2.044,903.6,3,1.69,6.79,5.99,29.93
ORD-100308,Apparel,Standard,833.22,1.147,771.7,2,1.39,5.92,4.58,25.58
ORD-100481,Apparel,Express,451.43,0.369,414.5,2,5.55,5.16,2.73,16.84
ORD-100609,Home_Kitchen,Same_Day,2647.08,0.679,24.6,1,9.73,5.18,2.24,15.48
ORD-100858,Apparel,Standard,5076.64,0.328,294.9,3,1.5,3.43,5.6,18.63
ORD-100654,Books,Express,631.46,1.205,246.8,3,4.41,4.06,1.0,11.19
ORD-100861,Groceries,Standard,1850.33,8.178,1059.2,9,5.29,7.42,4.3,35.88
ORD-100561,Apparel,Express,1819.22,1.137,24.3,6,3.21,7.57,3.74,10.8
ORD-100039,groceries,Standard,3363.53,4.423,177.8,6,1.3,3.72,4.6,12.64
ORD-100030,Groceries,Standard,1348.56,3.344,4.7,3,2.69,3.63,5.42,13.34
ORD-100242,Apparel,Same_Day,2033.25,0.471,53.0,5,4.56,7.32,4.57,10.58
ORD-100534,Electronics,Standard,21248.51,2.365,40.6,6,7.66,6.89,4.14,23.11
ORD-100136,Beauty,Standard,1762.13,1.432,922.6,6,1.55,5.3,7.03,32.86
ORD-101002,Electronics,Express,34838.22,5.502,40.1,6,1.73,1.96,4.89,12.68
ORD-100432,Groceries,Standard,1182.09,2.901,248.0,1,4.69,8.96,8.11,23.75
ORD-100003,Groceries,Standard,869.35,4.094,362.2,2,2.32,8.31,7.5,18.7
ORD-100490,Groceries,Express,3876.63,11.998,50.6,6,3.8,4.09,4.96,11.53
ORD-100621, Home_Kitchen,Standard,9687.81,10.9,29.6,3,2.19,4.68,8.66,18.83
ORD-101047,Groceries,Standard,1973.92,6.476,33.6,7,4.52,4.6,6.49,20.11
ORD-100413,Books,Express,379.3,0.52,33.6,2,3.91,5.86,4.58,12.08
ORD-101176,Home_Kitchen,Standard,12703.35,15.345,378.5,4,1.85,4.69,4.94,21.74
ORD-100761,Electronics,standard,11514.07,2.688,1462.6,4,1.32,3.85,5.3,38.93
ORD-100485,Apparel,Express,924.46,0.412,35.7,2,2.22,4.39,3.64,7.74
ORD-100314,Apparel,Standard,1041.18,0.425,748.9,2,,4.23,1.99,27.97
ORD-100527,Beauty,Standard,3789.32,1.195,1010.0,6,9.78,3.34,4.75,36.5
ORD-100394,Electronics,Standard,4946.39,3.603,10.9,5,1.55,5.15,8.69,18.23
ORD-101065,Beauty,Standard,2328.85,0.672,191.3,2,2.78,4.86,3.88,16.81
ORD-100005,Beauty,Standard,1072.45,0.304,3.2,2,3.64,7.55,3.79,14.91
ORD-100100,Beauty,Standard,1080.1,0.404,573.2,4,7.23,7.13,4.83,28.4
ORD-100657,Apparel,Express,4413.48,1.031,786.2,6,3.17,7.36,3.84,23.9
ORD-100523,Home_Kitchen,Express,1045.99,5.163,13.8,2,2.55,2.38,3.44,8.53
ORD-100497,Groceries,Standard,2713.62,9.687,367.2,6,2.54,5.59,,22.02
ORD-100829,Apparel,Standard,5235.63,0.716,37.2,2,5.41,7.83,7.29,23.66
ORD-100328,Groceries,Express,1064.04,2.714,146.9,4,2.18,5.89,5.31,12.02
ORD-100430,Beauty,Standard,1667.5,0.745,1051.4,4,3.38,9.25,7.68,33.99
ORD-100974,Apparel,Express,,3.675,259.0,9,5.62,3.24,2.46,17.36
ORD-100227, Home_Kitchen,Same_Day,13910.3,3.351,9.2,6,1.29,4.95,2.14,9.58
ORD-100660,Apparel,Same_Day,480.92,0.214,44.0,1,1.38,7.76,4.33,6.36
ORD-100541,Home_Kitchen,Same_Day,1314.21,10.932,28.4,4,1.37,3.97,3.75,6.34
ORD-100752,Apparel,Standard,1994.09,1.545,37.9,3,1.1,5.4,3.36,13.16
ORD-101003,electronics,Standard,7965.96,12.072,114.1,3,2.41,4.66,4.26,18.92
ORD-100066,Home_Kitchen,Express,7839.65,3.785,22.8,4,3.0,5.94,2.57,9.11
ORD-100067,Apparel,Standard,678.29,0.161,30.5,1,1.05,7.78,5.71,12.06
ORD-101089,Home_Kitchen,Express,3299.53,4.345,572.3,4,1.81,6.8,3.67,21.63
ORD-100211,Home_Kitchen,Standard,3470.35,5.46,52.8,4,3.81,10.0,5.37,18.07
ORD-100012,Groceries,Standard,1868.0,3.383,2.1,5,1.88,2.24,5.59,14.53
ORD-100522,Electronics,Express,4346.93,6.427,13.8,4,4.18,1.15,4.06,12.97
ORD-100666,Books,Standard,243.42,1.75,415.6,3,0.46,1.0,7.53,17.74
ORD-100299,Groceries,Standard,592.14,1.223,785.0,1,2.86,7.72,6.33,25.12
ORD-100442,Groceries,Express,1099.74,3.978,17.9,3,4.61,7.66,5.98,12.22
ORD-100777,Electronics,standard,8060.62,2.403,775.5,1,1.28,6.85,4.43,25.37
ORD-101088,Home_Kitchen,Express,6169.67,2.746,249.7,3,4.28,5.34,4.73,15.65
ORD-100549,Apparel,Standard,3525.03,1.045,373.9,5,5.25,3.65,4.32,23.09
ORD-100986,Apparel,Express,907.08,0.729,35.9,5,1.17,4.6,3.58,8.48
ORD-101151,Books,Standard,1010.98,3.854,659.2,7,7.89,6.16,8.82,29.97
ORD-100367,Groceries,Express,2435.29,6.4,25.2,5,3.76,4.51,,11.01
ORD-100737,Apparel,Standard,2838.09,0.468,61.8,3,5.09,4.71,6.45,20.2
ORD-100630,Beauty,Standard,1866.12,0.6,583.9,4,5.27,4.84,6.76,27.98
ORD-101133,Groceries,Express,815.85,4.256,151.9,3,0.3,1.02,3.95,6.51
ORD-100585,Groceries,Same_Day,734.56,6.721,26.5,6,3.82,9.62,5.96,13.15
ORD-101093,Apparel,Standard,,0.994,270.6,4,3.63,7.29,8.34,25.71
ORD-100273,Home_Kitchen,Express,3152.54,0.516,186.2,2,1.1,5.69,4.29,12.64
ORD-100551,Electronics,Standard,10473.3,3.41,1354.0,5,3.9,3.7,2.72,36.61
ORD-100237,Books,Express,473.88,1.49,50.2,2,3.78,8.1,8.71,12.64
ORD-100999,Apparel,Standard,1085.06,0.412,68.2,2,4.38,8.79,8.09,19.32
ORD-100002,Books,Standard,351.14,1.059,870.1,4,6.48,8.92,,34.0
ORD-100006,Groceries,Standard,497.01,3.622,680.9,3,7.75,6.54,4.9,28.74
ORD-100311,Apparel,Standard,2322.18,0.523,107.3,2,0.53,2.79,5.4,13.11
ORD-101042,Groceries,Standard,423.81,1.278,14.4,2,2.98,5.07,4.2,11.91
ORD-100597,Groceries,Same Day,1722.6,14.661,10.6,5,6.79,6.84,7.17,12.06
ORD-101164,Electronics,Express,11802.19,4.248,33.3,3,5.69,3.7,4.84,13.39
ORD-100629,Books,Standard,1488.57,1.403,421.3,4,2.2,6.84,5.06,23.01
ORD-100215,Groceries,Standard,3093.91,5.764,34.7,7,3.19,4.07,5.46,16.71
ORD-100398,Home_Kitchen,Express,1119.25,5.524,112.9,3,1.35,6.34,1.0,11.64
ORD-100027,Electronics,Standard,7249.73,1.356,1020.2,2,2.34,7.26,,33.05
ORD-101171,Groceries,Same_Day,1437.49,17.061,32.5,5,2.33,5.03,3.75,4.96
ORD-100390,Groceries,Standard,432.79,15.37,933.3,2,5.35,6.02,8.93,32.33
ORD-101046,Electronics,Standard,5738.47,1.329,1410.1,5,1.57,5.72,5.1,37.86
ORD-100801,APPAREL ,Standard,1332.62,0.647,222.2,2,3.21,5.3,5.45,18.73
ORD-101034,Apparel,Express,3835.89,5.142,718.1,8,5.68,6.16,7.41,25.37
ORD-100486,Home_Kitchen,Standard,2506.57,17.819,54.7,3,4.32,6.22,,22.32
ORD-100754,Groceries,Standard,1081.54,5.629,30.1,2,2.24,3.43,4.98,13.27
ORD-100552,Electronics,Standard,13798.22,2.26,284.3,5,5.47,6.44,6.32,27.58
ORD-100354,Home_Kitchen,Standard,2528.92,1.997,26.9,3,4.7,7.18,3.77,19.33
ORD-101063,Groceries,Standard,2867.95,5.074,185.2,2,1.37,3.85,3.94,14.16
ORD-100429,Books,Same_Day,199.0,2.099,48.3,3,4.68,6.61,3.58,10.49
ORD-100256,Books,Standard,531.86,1.408,1203.5,2,1.95,6.5,7.39,36.31
ORD-100291,Electronics,Standard,14667.59,4.987,376.1,4,,4.85,1.73,20.2
ORD-100025,electronics,Same_Day,11815.24,1.97,37.0,1,4.97,6.9,5.86,11.18
ORD-100336,Electronics,Standard,14240.19,3.211,429.2,4,1.96,6.75,1.5,20.84
ORD-100716,Home_Kitchen,Express,4826.59,2.751,31.7,1,2.79,5.46,5.74,11.46
ORD-100047,Apparel,Express,,0.908,212.8,4,2.06,3.04,4.52,11.99
ORD-100318,Apparel,Express,3404.6,0.596,3.9,3,6.9,6.33,5.07,16.62
ORD-100106,Home_Kitchen,Same_Day,2890.37,2.569,37.6,3,0.55,3.9,5.94,5.98
ORD-100976,Home_Kitchen,Same_Day,7762.75,5.1,39.0,4,3.0,7.39,4.15,9.38
ORD-100055,Books,Standard,1109.24,1.122,471.4,4,2.47,4.25,5.52,19.5
ORD-100888,Electronics,Express,15718.45,17.922,243.8,7,3.95,7.97,5.41,21.15
ORD-100213,Books,EXPRESS,2010.54,1.073,295.0,6,5.92,8.51,2.91,18.35
ORD-100120,Home_Kitchen,Express,2615.33,2.253,699.2,5,6.62,5.11,7.58,26.97
ORD-100581,Home_Kitchen,Standard,2162.9,3.899,1055.3,3,1.97,7.84,4.51,31.0
ORD-100526,Beauty,Express,1082.65,0.432,22.5,2,0.65,6.04,2.13,7.03
ORD-100869,Apparel,Standard,5930.5,0.861,31.8,5,2.41,5.49,6.77,18.25
ORD-100072,Books,Standard,1029.55,1.854,18.9,5,3.18,5.86,2.78,15.58
ORD-101023,Home_Kitchen,Same_Day,8387.4,4.563,28.1,3,5.78,8.21,6.73,13.71
ORD-100767,Electronics,Standard,22354.08,9.46,259.8,4,3.44,7.1,6.69,23.02
ORD-101131,Home_Kitchen,Same_Day,5348.64,2.59,53.8,7,4.31,2.54,3.84,11.62
ORD-100411,Groceries,Express,1299.06,2.879,139.0,5,2.05,5.3,5.65,8.29
ORD-100918,Apparel,Same_Day,897.9,0.107,49.9,2,2.61,7.98,7.92,11.06
ORD-100806,Groceries,Standard,3041.35,5.565,221.3,5,3.62,3.73,5.65,19.18
ORD-100570,Apparel,Standard,707.27,0.304,52.0,1,5.01,3.06,3.7,13.9
ORD-100783, Home_Kitchen,Express,985.28,2.706,358.8,1,1.93,4.81,6.01,16.99
ORD-100519,Books,Standard,419.37,0.793,175.6,1,2.95,8.0,4.09,18.05
ORD-101105,Groceries,Standard,911.1,5.567,146.9,3,3.09,7.37,6.58,17.83
ORD-100325,Groceries,Same_Day,897.86,4.614,14.7,5,2.7,5.11,3.9,6.86
ORD-100529,Apparel,Standard,3786.72,0.596,18.7,4,1.66,4.99,5.33,15.24
ORD-100950,Home_Kitchen,Express,3003.94,4.746,165.4,2,1.46,4.47,4.98,11.13
ORD-100316,Apparel,Express,537.88,,382.6,2,1.53,4.42,7.85,15.04
ORD-100958, Home_Kitchen,Standard,10889.97,,409.1,3,2.06,5.11,6.85,21.32
ORD-100990,Groceries,Standard,888.71,5.881,636.9,6,2.98,3.21,5.77,25.69
ORD-100545,Home_Kitchen,Standard,1981.88,3.619,1485.4,2,1.6,5.41,6.5,35.22
ORD-100977,Apparel,Same_Day,2256.65,1.509,29.8,4,2.19,7.59,9.02,11.41
ORD-101037,Apparel,standard,2740.47,0.744,1251.9,7,3.87,3.12,1.0,31.48
ORD-100458,Books,Standard,1010.09,3.169,6.2,5,1.45,5.42,6.3,14.22
ORD-101169,Electronics,Standard,15409.04,16.275,29.1,8,2.84,8.41,4.98,21.8
ORD-100060,Groceries,Standard,2101.66,1.424,143.7,2,6.07,9.12,6.52,21.89
ORD-100743,Electronics,Same_Day,42011.74,1.622,11.1,4,3.29,8.32,3.71,9.95
ORD-100092,Home_Kitchen,Standard,893.41,2.128,745.1,2,4.37,5.88,8.29,31.85
ORD-100953,Electronics,Standard,22045.34,0.367,650.3,1,3.71,6.74,5.73,28.37
ORD-100423,Electronics,Standard,20091.27,1.09,55.2,2,3.28,5.73,7.72,18.52
ORD-100351,Electronics,Express,3889.51,0.581,2.4,2,7.62,7.95,4.27,20.01
ORD-101107,Apparel,Express,4931.99,1.009,23.4,5,7.62,5.49,4.24,15.3
ORD-100280,Electronics,Express,49184.61,1.08,9.9,1,7.23,2.04,5.23,16.36
ORD-100101,Groceries,Same_Day,1794.04,4.287,54.2,5,0.68,3.54,5.12,6.39
ORD-100428,Electronics,Same_Day,25575.78,1.048,36.0,6,1.04,2.08,5.05,6.95
ORD-100359,Home_Kitchen,Standard,9947.55,2.92,402.4,2,3.36,5.82,4.21,25.02
ORD-100704,Apparel,Express,1237.13,0.9,81.4,3,3.16,6.32,3.33,10.16
ORD-100573,Groceries,Express,5254.49,10.553,209.7,12,6.34,9.15,5.96,20.06
ORD-100855,Home_Kitchen,Express,576.38,1.744,148.7,6,2.24,3.37,4.77,12.02
ORD-100543,Beauty,Standard,730.15,0.912,728.8,4,2.55,6.39,7.02,25.37
ORD-101191,APPAREL ,Express,1849.24,0.194,630.3,3,4.07,10.0,9.72,22.99
ORD-100746,Apparel,Express,895.77,0.366,19.9,3,1.67,4.86,4.58,7.75
ORD-100182,Home_Kitchen,Same_Day,6602.14,4.319,45.9,7,1.9,3.31,1.31,8.45
ORD-100695,Home_Kitchen,Same_Day,15826.89,3.224,26.9,7,4.34,5.59,6.27,15.17
ORD-100464,Home_Kitchen,Same Day,5145.1,1.993,17.3,5,2.02,4.36,5.98,6.89
ORD-100110,Home_Kitchen,Standard,10093.23,4.248,1170.8,3,1.05,3.24,2.74,27.36
ORD-100370,Groceries,Express,1447.16,7.181,381.0,5,2.33,3.82,4.7,15.05
ORD-100239,Electronics,Express,11228.64,7.287,341.4,4,4.19,5.26,5.48,-4.0
ORD-101057,Apparel,Express,2717.74,1.369,811.9,4,2.25,6.85,7.61,21.76
ORD-100649,Electronics,Same_Day,6654.85,4.094,53.8,3,2.67,7.94,6.36,12.15
ORD-100894,Groceries,Standard,464.31,6.82,1058.8,2,4.86,3.15,4.71,33.5
ORD-100204,Electronics,Standard,11426.79,3.257,983.4,2,2.02,7.32,4.51,31.99
ORD-100931,Apparel,Express,1954.72,0.892,35.5,4,3.42,5.38,2.43,8.7
ORD-100261,Books,Express,817.16,1.525,507.1,4,3.3,7.05,4.34,17.3
ORD-100513,Apparel,Express,1676.5,1.052,3.3,5,2.26,5.66,2.32,9.15
ORD-100813,Home_Kitchen,Express,5014.74,2.366,27.4,2,2.84,6.97,5.23,12.55
ORD-100339,Beauty,Express,1044.14,0.5,202.4,3,2.41,8.09,3.63,14.59
ORD-100700,Apparel,Standard,3409.12,0.749,281.4,5,2.65,5.0,7.95,18.09
ORD-100838,Apparel,Standard,1048.81,0.764,1334.9,1,1.66,4.72,5.33,33.35
ORD-101079,Apparel,standard,1028.92,0.562,979.7,2,3.04,8.17,6.19,28.94
ORD-100183,APPAREL ,Standard,1479.3,1.059,323.7,5,2.23,5.73,4.29,17.8
ORD-100137,Home_Kitchen,Standard,3284.17,7.82,181.0,4,1.91,2.44,4.73,15.42
ORD-101174,Home_Kitchen,Standard,4077.02,4.228,434.1,4,2.62,5.94,4.48,24.46
ORD-100727,Electronics,Express,22404.58,3.032,315.9,2,1.56,4.95,8.48,15.9
ORD-100652,Groceries,Standard,1653.42,5.348,38.4,6,4.03,7.52,7.04,16.77
ORD-100080,Groceries,Standard,650.04,1.312,52.3,1,2.34,8.58,5.7,12.72
ORD-100528,Groceries,Standard,1132.52,1.602,53.4,2,1.07,5.91,8.15,17.18
ORD-100814,Electronics,Express,8339.12,3.873,458.5,5,2.84,3.08,5.86,16.31
ORD-100849,Beauty,Same_Day,2302.64,0.866,4.9,4,2.18,9.42,8.7,10.95
ORD-100029,Groceries,Standard,1121.87,11.526,74.2,4,5.85,3.83,3.91,18.28
ORD-100952,Apparel,Standard,2632.1,0.793,1239.0,2,1.16,3.63,6.33,32.98
ORD-100165,Apparel,Standard,688.96,0.697,167.4,2,2.01,4.86,1.0,12.66
ORD-100248,Apparel,standard,1603.79,0.444,1257.1,3,1.18,3.11,6.51,32.59
ORD-100307,Groceries,Express,4061.98,5.587,877.8,7,3.19,2.37,6.45,22.54
ORD-100879,Home_Kitchen,Same_Day,4833.66,7.256,51.9,7,2.12,4.8,5.93,10.39
ORD-100933,Groceries,Express,396.02,1.461,126.6,2,5.63,6.86,6.95,16.69
ORD-100346,Beauty,Standard,1768.97,0.921,464.8,5,1.25,2.51,4.46,19.54
ORD-100334,Electronics,Standard,4134.96,3.43,167.4,1,1.94,6.88,4.24,18.98
ORD-100285,Apparel,Standard,1664.03,0.546,60.5,1,4.09,7.2,3.4,19.11
ORD-100978,Home_Kitchen,Same_Day,9834.68,7.227,9.8,4,3.51,5.44,6.17,11.06
ORD-100097,electronics,Standard,11535.37,3.638,120.6,3,1.77,6.19,5.98,18.75
ORD-100557,Home_Kitchen,Standard,3640.93,2.88,16.9,4,1.54,4.99,3.97,15.0
ORD-101050,Groceries,Standard,2132.26,4.367,922.0,2,1.47,3.66,2.45,23.35
ORD-100939,Electronics,Standard,10730.92,6.421,1388.3,3,2.37,4.98,8.53,38.64
ORD-100620,groceries,Standard,802.51,5.463,698.5,2,3.37,7.62,5.68,26.47
ORD-100701,Apparel,Same_Day,3053.43,2.612,50.8,10,1.52,2.77,4.79,7.89
ORD-101075,Apparel,Express,2564.28,1.435,334.1,6,2.51,5.71,5.82,17.01
ORD-100862,Books,Standard,605.29,1.14,305.6,3,5.72,9.69,6.74,24.61
ORD-100778,groceries,Same_Day,4611.54,6.416,3.2,6,3.88,2.35,3.48,4.76
ORD-101072,Home_Kitchen,Express,4052.41,0.981,7.3,3,2.62,7.06,4.51,13.05
ORD-100065,Home_Kitchen,Express,1982.45,1.842,15.8,2,4.37,7.54,6.48,13.65
ORD-101117,Books,Standard,607.77,3.977,204.1,6,3.35,6.84,6.69,22.29
ORD-100764,Beauty,standard,586.71,0.636,45.9,3,2.11,5.72,6.5,16.32
ORD-100996,Groceries,standard,658.26,10.991,224.7,4,4.36,4.72,3.76,17.86
ORD-101097,Books,Standard,433.99,2.098,329.5,4,5.23,6.94,4.71,23.06
ORD-101112,Home_Kitchen,Standard,3294.15,3.736,395.2,4,1.98,4.73,,24.67
ORD-100302,Home_Kitchen,Same_Day,804.17,2.998,43.0,3,2.33,6.96,6.2,9.79
ORD-100254,Apparel,Standard,1478.77,0.489,48.4,4,3.26,3.79,6.87,14.76
ORD-100987,Electronics,Standard,37155.11,2.497,1254.2,4,7.36,3.63,3.78,39.64
ORD-100959,Home_Kitchen,Same_Day,4544.25,6.876,30.7,2,5.33,2.64,6.02,12.56
ORD-100312,Apparel,Express,7006.69,0.55,531.0,4,1.24,3.03,5.48,16.4
ORD-100553,Beauty,Standard,1963.57,0.466,1393.4,6,4.88,6.66,8.69,38.28
ORD-100221,Home_Kitchen,Standard,3978.29,3.727,1143.8,2,6.17,7.67,,35.48
ORD-100477,Home_Kitchen,Standard,5966.53,9.095,54.6,4,5.58,5.46,2.95,18.85
ORD-100388,Electronics,Express,4144.24,1.783,349.1,2,2.17,3.89,3.65,14.86
ORD-100235,Books,Standard,338.45,1.302,211.3,2,1.04,5.42,4.88,17.0
ORD-100832,Apparel,Express,4021.39,1.528,367.7,4,2.85,7.4,,18.03
ORD-101087,Groceries,Standard,2627.34,11.577,321.5,5,4.11,5.22,6.1,20.9
ORD-100759,Home_Kitchen,Standard,966.02,3.064,329.8,1,0.7,4.4,4.07,18.83
ORD-100305,Home_Kitchen,Same_Day,5920.43,1.72,48.6,3,2.63,7.35,99.0,11.35
ORD-101124,Apparel,Standard,1893.44,1.723,435.0,9,4.54,7.0,6.3,25.69
ORD-100572,Home_Kitchen,Express,4508.58,18.098,431.1,3,3.81,7.17,3.9,20.87
ORD-100963,Electronics,Same_Day,7812.76,1.359,50.6,3,0.85,4.12,5.63,7.74
ORD-100943,Apparel,Same_Day,599.76,0.448,11.3,1,0.63,2.76,3.98,4.75
ORD-101152,Electronics,Standard,12003.08,1.167,21.7,6,3.34,9.27,7.85,21.05
ORD-100249,Apparel,EXPRESS,1488.21,0.998,22.4,4,2.15,6.73,5.0,8.98
ORD-100780,Apparel,Express,2303.93,1.555,139.7,6,1.77,4.98,4.93,11.5
ORD-100613,Beauty,Standard,869.92,0.172,356.6,2,5.95,8.79,7.47,24.46
ORD-100071,Apparel,Express,,0.231,127.9,1,0.88,4.2,4.27,65.98
ORD-100094,Apparel,Standard,3593.5,2.18,36.8,5,6.27,8.12,,19.67
ORD-100673,Groceries,Standard,630.56,5.143,1069.7,2,1.29,6.07,7.47,27.79
ORD-100033,Apparel,Express,1725.73,0.535,143.6,3,0.79,1.39,5.91,9.96
ORD-100789,Home_Kitchen,Same_Day,2768.51,26.44,16.8,8,4.47,6.11,3.23,10.7
ORD-100448,Electronics,Express,11129.52,1.508,330.9,3,4.27,4.49,5.05,16.0
ORD-100445,Groceries,Express,1150.1,2.378,328.9,2,4.07,5.43,6.85,14.17
ORD-100846,Apparel,Standard,2203.71,1.317,322.6,5,4.91,7.4,2.43,23.1
ORD-100718,Groceries,Same_Day,810.44,4.509,6.2,3,1.12,3.98,2.84,3.11
ORD-101155,Electronics,Standard,23794.45,6.321,764.7,4,2.4,4.95,3.83,29.24
ORD-100077,Groceries,Express,702.16,3.052,204.5,4,2.05,5.79,6.63,11.18
ORD-100084,Electronics,Express,4145.64,2.827,92.5,2,2.59,5.13,7.48,14.59
ORD-101081,Beauty,Same_Day,1928.58,0.201,10.6,2,2.04,8.17,5.2,7.41
ORD-100082,Books,Standard,199.0,1.023,117.5,3,7.31,6.52,6.04,23.79
ORD-100457,Home_Kitchen,Standard,6351.26,4.187,527.9,4,1.97,6.52,5.7,23.38
ORD-100757,Beauty,Express,3036.25,1.209,98.2,6,3.13,7.4,6.07,13.15
ORD-100436,Electronics,Standard,26083.53,6.591,31.0,13,4.06,1.23,3.83,19.03
ORD-101078,Groceries,Standard,1604.52,15.24,255.0,3,2.74,5.59,6.44,21.04
ORD-100916,Electronics,Standard,50486.63,1.408,562.9,3,5.29,5.36,2.91,29.23
ORD-100404,Beauty,Standard,321.1,0.147,326.3,1,4.25,6.11,5.38,20.43
ORD-101058,Home_Kitchen,Standard,14656.21,12.697,226.2,5,1.48,2.94,6.03,18.24
ORD-100626,Books,Standard,642.23,1.104,211.6,5,4.69,5.5,6.94,21.17
ORD-100668,Apparel,Standard,8626.34,0.763,1469.4,4,1.68,6.23,5.6,36.45
ORD-100104,Groceries,Standard,933.18,12.312,196.3,5,9.61,5.44,4.61,21.75
ORD-100554,Electronics,Standard,102158.04,22.371,52.8,13,4.15,5.42,6.7,22.97
ORD-101150,Electronics,Express,18701.2,0.352,54.4,3,2.89,6.21,9.7,15.06
ORD-100062,Home_Kitchen,Same_Day,3666.39,7.416,35.8,2,5.8,8.84,6.41,13.05
ORD-100281,Electronics,Standard,13018.53,8.586,327.7,5,3.1,4.96,7.09,21.81
ORD-100682,Electronics,standard,3577.13,0.624,133.1,1,1.44,6.37,6.19,17.49
ORD-100238,Electronics,Express,22055.66,5.388,585.0,4,1.13,4.78,5.67,20.08
ORD-100223,Beauty,standard,1205.9,0.311,195.6,3,2.95,4.1,6.26,21.17
ORD-100145,Apparel,Standard,1507.36,0.951,624.1,3,2.15,5.35,1.44,20.98
ORD-101132,Electronics,Express,17285.18,1.552,243.4,4,3.76,7.67,6.48,20.17
ORD-100373,APPAREL ,Express,2588.59,0.139,259.8,1,3.52,8.51,5.45,18.3
ORD-100118,Apparel,Same_Day,1438.64,0.861,45.7,3,4.82,9.85,7.23,15.62
ORD-100825,Electronics,Express,13225.71,3.101,145.0,4,3.23,4.01,4.87,16.13
ORD-100250,Groceries,Express,2229.16,2.238,167.5,4,1.3,3.29,1.58,7.85
ORD-101170,Apparel,Same_Day,4173.77,1.404,22.3,8,2.86,4.65,6.1,11.13
ORD-100009,Home_Kitchen,Same_Day,3092.84,1.935,33.0,1,4.02,5.57,7.5,12.17
ORD-100449,Home_Kitchen,Standard,4021.61,3.678,372.1,1,5.13,4.82,4.66,24.62
ORD-100899,Home_Kitchen,Express,2115.43,5.72,132.4,7,3.15,4.14,5.7,15.13
ORD-100389,Books,Express,678.35,0.914,14.9,2,2.58,5.26,7.9,13.71
ORD-100644,Groceries,Same_Day,2520.71,10.354,41.4,9,9.28,7.99,5.58,14.86
ORD-100927,Books,Express,,0.995,53.8,2,2.67,7.38,5.88,10.75
ORD-100460,Home_Kitchen,Standard,2945.37,9.179,356.2,2,4.1,4.47,2.77,22.57
ORD-101118,Apparel,Standard,3605.71,0.915,78.9,4,1.3,3.61,5.65,16.76
ORD-100144, Home_Kitchen,Express,842.94,1.189,175.6,4,3.21,7.24,6.68,16.19
ORD-100501,Books,Express,1606.7,3.351,37.2,10,2.26,4.64,1.91,9.42
ORD-101121,Electronics,Standard,1970.63,1.898,41.0,1,1.33,6.24,5.78,16.04
ORD-100539,Books,Standard,1535.09,2.023,734.9,5,2.59,6.56,7.67,28.75
ORD-100177,Beauty,Same_Day,2685.65,0.454,43.3,3,2.35,2.4,2.46,5.44
ORD-101172,Apparel,Express,4294.07,2.099,609.3,6,3.32,8.41,6.7,20.59
ORD-100974,Apparel,Express,,3.675,259.0,9,5.62,3.24,2.46,17.36
ORD-100602,Beauty,Standard,693.18,0.519,10.5,2,1.71,4.59,4.12,14.96
ORD-100855,Home_Kitchen,Express,576.38,1.744,148.7,6,2.24,3.37,4.77,12.02
ORD-100007,Books,standard,965.42,1.81,328.9,5,1.15,4.68,4.45,18.39
ORD-100843,Apparel,Same_Day,1141.98,0.447,47.6,1,1.89,6.49,2.57,6.51
ORD-100868,Electronics,Express,5730.32,4.28,11.4,5,4.1,3.58,3.23,13.51
ORD-100357,Books,Standard,570.95,1.795,103.9,2,1.74,5.87,4.59,17.09
ORD-100329,Apparel,Same_Day,1739.95,0.569,12.0,3,4.8,9.58,4.4,11.13
ORD-101108,Beauty,Standard,427.58,0.323,862.1,2,2.33,6.35,5.01,25.48
ORD-100885,Apparel,Standard,1282.33,0.577,330.7,2,4.34,6.14,4.44,21.61
ORD-100258,Electronics,Standard,12818.52,2.092,1234.4,2,0.84,4.25,1.09,29.13
ORD-100893,Electronics,Standard,9061.84,7.191,143.1,3,3.17,7.85,10.0,24.64
ORD-100917,Electronics,Same_Day,15387.3,4.513,52.7,3,0.85,4.29,4.28,6.64
ORD-100796,Electronics,Standard,6399.82,1.228,1242.3,3,11.14,6.61,,42.62
ORD-100826,Home_Kitchen,Standard,3614.48,10.354,47.8,7,5.68,4.2,3.77,19.55
ORD-100852,Books,Standard,646.75,0.423,1137.5,2,6.43,7.97,7.84,36.77
ORD-100525,APPAREL ,Express,2097.82,0.255,347.1,3,0.3,3.18,3.25,12.23
ORD-100836,Groceries,Standard,605.97,14.423,8.7,4,4.31,7.91,8.95,19.25
ORD-100678,Electronics,Standard,11116.12,1.349,163.6,2,1.71,7.82,5.54,20.38
ORD-100772,Home_Kitchen,Standard,1914.5,5.514,12.6,3,2.99,6.93,5.71,16.51
ORD-101179,Apparel,Standard,1043.45,0.465,206.5,2,4.81,6.03,3.23,18.13
ORD-100440,Books,Express,1017.43,2.122,219.9,2,1.8,5.52,7.11,12.94
ORD-100531,Groceries,Standard,1340.71,5.588,943.7,4,3.18,3.35,1.35,24.88
